Inondations,"58,962"
Mvts de terrain,3
Séismes,"3,279"
Avalanches,0
Eruptions,0
Incendies,"7,165"
Cyclones,"68,304"
Tempêtes,"3,822"
Orages et foudre,"12,019"
Grêle,"4,837"
Tornades et trombes,"17,065"
Froid & neige,"3,114"
Canicules,"1,700"
Sécheresses,"15,594"
Intempéries,"5,619"
Evts  extra-terrestres,0
